,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
1,Apartament u stóp Wawelu,: Stare Miasto,2.0,745 000 ,52.5,14190.0,https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#89e33f6554,2019-03-07 15:26:00.407141,"Krakow , : Stare Miasto",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.935455391368265, 0.0)",50.05465045,19.935455391368265,0.0
7,Do remontu w niskiej zabudowie + ogródek!,: Stare Dębniki,2.0,286 000 ,35.6,8034.0,https://www.otodom.pl/oferta/do-remontu-w-niskiej-zabudowie-ogrodek-ID3WZOQ.html#89e33f6554,2019-03-07 15:26:00.408144,"Krakow , : Stare Dębniki",budowie,Kraków budowie,"Cmentarz komunalny w budowie, Dębniki, Kraków, województwo małopolskie, Polska",ulica,"(50.0000448, 19.842410046602595, 0.0)",50.0000448,19.842410046602595,0.0
12,Ostatnie Piętro 4pok.przy Łąkach Nowohuckich!,: Czyżyny,4.0,484 608 ,81.31,5960.0,https://www.otodom.pl/oferta/ostatnie-pietro-4pok-przy-lakach-nowohuckich-ID3WZN2.html#89e33f6554,2019-03-07 15:26:00.409147,"Krakow , : Czyżyny",Ostatnia,Kraków Ostatnia,"Ostatnia, Wieczysta, Prądnik Czerwony, Kraków, województwo małopolskie, 31-445, Polska",ulica,"(50.070786, 19.9766587, 0.0)",50.070786,19.9766587,0.0
13,Nowe 2 pokojowe 40m2  Głowackiego,: Bronowice Małe,2.0,370 000 ,40.3,9181.0,https://www.otodom.pl/oferta/nowe-2-pokojowe-40m2-ul-glowackiego-ID3WZI8.html#89e33f6554,2019-03-07 15:26:00.409147,"Krakow , : Bronowice Małe",Głowackiego,Kraków Głowackiego,"Głowackiego, Bronowicka, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-084, Polska",ulica,"(50.0758889, 19.9058459, 0.0)",50.0758889,19.9058459,0.0
23,3 pokoje wysoki standard Ugorek,: Ugorek,3.0,429 700 ,48.7,8823.0,https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-ugorek-ID3WZoQ.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Ugorek",Ugorek,Kraków Ugorek,"Ugorek, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",ulica,"(50.0770309, 19.981480243513374, 0.0)",50.0770309,19.981480243513374,0.0
28,2 pokojowe z Ogródkiem  43m2  Wola Justowska,: Bronowice,2.0,416 000 ,43.0,9674.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Bronowice",Justowska,Kraków Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
29,Pl. Bohaterów Getta  2 pokoje !!!,: Stare Podgórze,2.0,475 000 ,43.3,10970.0,https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Stare Podgórze",Getta,Kraków Getta,"Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, Polska",ulica,"(50.0467232, 19.95438111538139, 0.0)",50.0467232,19.95438111538139,0.0
30,Kraków  Śródmieście  Olsza –  ca Idzikowskiego,: Śródmieście,2.0,290 000 ,25.09,11558.0,https://www.otodom.pl/oferta/krakow-srodmiescie-olsza-ulica-idzikowskiego-ID3WZ3G.html#89e33f6554,2019-03-07 15:26:00.411152,"Krakow , : Śródmieście",Idzikowskiego,Kraków Idzikowskiego,"Ludwika Idzikowskiego, Rakowice, Grzegórzki, Kraków, województwo małopolskie, 31-519, Polska",ulica,"(50.0768625, 19.9600088, 0.0)",50.0768625,19.9600088,0.0
34,Bezpośrednio   Kawalerka  Strusia 25m2,: Nowa Huta,1.0,228 000 ,25.0,9120.0,https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a,2019-03-07 15:26:01.294507,"Krakow , : Nowa Huta",Strusia,Kraków Strusia,"Osiedle Józefa Strusia, Bieńczyce, Kraków, województwo małopolskie, Polska",ulica,"(50.08848715, 20.009869196375526, 0.0)",50.08848715,20.009869196375526,0.0
48,Z widokiem na Wawel  winda w kamienicy  antresola,: Kazimierz,1.0,390 000 ,30.0,13000.0,https://www.otodom.pl/oferta/z-widokiem-na-wawel-winda-w-kamienicy-antresola-ID3WYHa.html#3f7ebb237a,2019-03-07 15:26:01.296512,"Krakow , : Kazimierz",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.935455391368265, 0.0)",50.05465045,19.935455391368265,0.0
