,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,ulica,lokator_ulica_dzielnica,geo_location,rodzaj,point,latitude,longitude,altitude
1,Apartament u stóp Wawelu,: Stare Miasto,2.0,745 000 ,52.5,14190.0,https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#89e33f6554,2019-03-07 15:26:00.407141,Wawelu,Kraków : Stare Miasto Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.935455391368265, 0.0)",50.05465045,19.935455391368265,0.0
7,Do remontu w niskiej zabudowie + ogródek!,: Stare Dębniki,2.0,286 000 ,35.6,8034.0,https://www.otodom.pl/oferta/do-remontu-w-niskiej-zabudowie-ogrodek-ID3WZOQ.html#89e33f6554,2019-03-07 15:26:00.408144,budowie,Kraków : Stare Dębniki budowie,"Cmentarz komunalny w budowie, Dębniki, Kraków, województwo małopolskie, Polska",ulica,"(50.0000448, 19.842410046602595, 0.0)",50.0000448,19.842410046602595,0.0
10,3pok.najbardziej pożądany układ  Łąki Nowohuckie!,: Czyżyny,3.0,352 950 ,54.3,6500.0,https://www.otodom.pl/oferta/3pok-najbardziej-pozadany-uklad-laki-nowohuckie-ID3WZNm.html#89e33f6554,2019-03-07 15:26:00.408144,Nowohucka,Kraków : Czyżyny Nowohucka,"Nowohucka, Czyżyny, Kraków, województwo małopolskie, 31-580, Polska",ulica,"(50.0729599, 20.0043805, 0.0)",50.0729599,20.0043805,0.0
23,3 pokoje wysoki standard Ugorek,: Ugorek,3.0,429 700 ,48.7,8823.0,https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-ugorek-ID3WZoQ.html#89e33f6554,2019-03-07 15:26:00.410149,Ugorek,Kraków : Ugorek Ugorek,"Ugorek, Prądnik Czerwony, Kraków, województwo małopolskie, 31-457, Polska",ulica,"(50.0761099, 19.9820437, 0.0)",50.0761099,19.9820437,0.0
26,Sprzedam 2 apartamenty na Topolowej pod inwestycje,: Stare Miasto,3.0,790 000 ,78.5,10064.0,https://www.otodom.pl/oferta/sprzedam-2-apartamenty-na-topolowej-pod-inwestycje-ID3WZfy.html#89e33f6554,2019-03-07 15:26:00.410149,Topolowa,Kraków : Stare Miasto Topolowa,"Topolowa, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-508, Polska",ulica,"(50.0672614, 19.9504819, 0.0)",50.0672614,19.9504819,0.0
28,2 pokojowe z Ogródkiem  43m2  Wola Justowska,: Bronowice,2.0,416 000 ,43.0,9674.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554,2019-03-07 15:26:00.410149,Justowska,Kraków : Bronowice Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
29,Pl. Bohaterów Getta  2 pokoje !!!,: Stare Podgórze,2.0,475 000 ,43.3,10970.0,https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554,2019-03-07 15:26:00.410149,Getta,Kraków : Stare Podgórze Getta,"Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, Polska",ulica,"(50.0467232, 19.95438111538139, 0.0)",50.0467232,19.95438111538139,0.0
34,Bezpośrednio   Kawalerka  Strusia 25m2,: Nowa Huta,1.0,228 000 ,25.0,9120.0,https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a,2019-03-07 15:26:01.294507,Struga,Kraków : Nowa Huta Struga,"Struga, Osiedle Na Skarpie, Nowa Huta, Kraków, województwo małopolskie, Polska",ulica,"(50.0747532, 20.047561079283497, 0.0)",50.0747532,20.047561079283497,0.0
47,2 pokojowe z Ogródkiem  Gotowe VI 2019  Żabiniec,: Żabiniec,2.0,385 000 ,56.5,6814.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-gotowe-vi-2019-zabiniec-ID3WYQ4.html#3f7ebb237a,2019-03-07 15:26:01.295509,Żabiniec,Kraków : Żabiniec Żabiniec,"Żabiniec, Osiedle Żabiniec, Prądnik Biały, Kraków, województwo małopolskie, 31-215, Polska",ulica,"(50.0821999, 19.9463442, 0.0)",50.0821999,19.9463442,0.0
57,Kapelanka 6a   high standard   parking place!,: Dębniki,2.0,545 000 ,49.8,10944.0,https://www.otodom.pl/oferta/kapelanka-6a-high-standard-parking-place-ID3WYuc.html#3f7ebb237a,2019-03-07 15:26:01.296512,Kapelanka,Kraków : Dębniki Kapelanka,"Kapelanka, Osiedle Podwawelskie, Dębniki, Kraków, województwo małopolskie, 30-346, Polska",ulica,"(50.0434871, 19.9227043, 0.0)",50.0434871,19.9227043,0.0
58,2 pok. gotowe do zamieszkania! Bieńczyce Okazja,: Bieńczyce,2.0,265 000 ,37.0,7162.0,https://www.otodom.pl/oferta/2-pok-gotowe-do-zamieszkania-bienczyce-okazja-ID3WYrC.html#3f7ebb237a,2019-03-07 15:26:01.296512,Bieńczyckie,Kraków : Bieńczyce Bieńczyckie,"Planty Bieńczyckie, Bieńczyce, Kraków, województwo małopolskie, 31-845, Polska",ulica,"(50.08937935, 20.011360169078962, 0.0)",50.08937935,20.011360169078962,0.0
59,Prokocim  3 pokoje,: Bieżanów-Prokocim,3.0,315 000 ,51.2,6152.0,https://www.otodom.pl/oferta/prokocim-3-pokoje-ID3WYmU.html#3f7ebb237a,2019-03-07 15:26:01.297515,Prokocimia,Kraków : Bieżanów-Prokocim Prokocimia,"Prokocim, Bieżanów-Prokocim, Kraków, województwo małopolskie, Polska",ulica,"(50.0226748, 19.9921741, 0.0)",50.0226748,19.9921741,0.0
65,2 pokoje 37m2  Na Lotnisku.,: Górka Narodowa,2.0,265 000 ,36.35,7290.0,https://www.otodom.pl/oferta/2-pokoje-37m2-os-na-lotnisku-ID3WVza.html#85fbb29208,2019-03-07 15:26:02.253062,Lotnisko,Kraków : Górka Narodowa Lotnisko,"Lądowisko Rakowice-Czyżyny, Stefana Jurczaka, Czyżyny, Kraków, województwo małopolskie, 31-634, Polska",ulica,"(50.0846957, 19.9886787, 0.0)",50.0846957,19.9886787,0.0
