,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,ulica,lokator_ulica_dzielnica,geo_location,rodzaj,point,latitude,longitude,altitude
0,w sąsiedztwie Rynku Głównego / 2 miejsca p ojowe,: Stare Miasto,4.0,777 000 ,87.2,8911.0,https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#89e33f6554,2019-03-07 15:26:00.407141,Rynek,"Kraków, : Stare Miasto, Rynek","Rynek Główny, Stare Miasto, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.061516499999996, 19.935947926355013, 0.0)",50.061516499999996,19.935947926355013,0.0
1,Apartament u stóp Wawelu,: Stare Miasto,2.0,745 000 ,52.5,14190.0,https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#89e33f6554,2019-03-07 15:26:00.407141,Wawelu,"Kraków, : Stare Miasto, Wawelu","Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",dzielnica_ulica,"(50.05465045, 19.935455391368265, 0.0)",50.05465045,19.935455391368265,0.0
5,Kawalerka Kraków Podgórze,: Podgórze,1.0,180 000 ,17.6,10227.0,https://www.otodom.pl/oferta/kawalerka-krakow-podgorze-ID3WXBV.html#89e33f6554,2019-03-07 15:26:00.408144,,"Kraków, : Podgórze, ","Podgórze, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.042609, 20.011697369877197, 0.0)",50.042609,20.011697369877197,0.0
7,Do remontu w niskiej zabudowie + ogródek!,: Stare Dębniki,2.0,286 000 ,35.6,8034.0,https://www.otodom.pl/oferta/do-remontu-w-niskiej-zabudowie-ogrodek-ID3WZOQ.html#89e33f6554,2019-03-07 15:26:00.408144,budowie,"Kraków, : Stare Dębniki, budowie","Cmentarz komunalny w budowie, Dębniki, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0000448, 19.842410046602595, 0.0)",50.0000448,19.842410046602595,0.0
9,3pok.z dwoma balkonami w zielonej okolicy Czyżyny!,: Czyżyny,3.0,378 752 ,59.18,6400.0,https://www.otodom.pl/oferta/3pok-z-dwoma-balkonami-w-zielonej-okolicy-czyzyny-ID3WZNq.html#89e33f6554,2019-03-07 15:26:00.408144,,"Kraków, : Czyżyny, ","Czyżyny, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.06652355, 20.00884129147333, 0.0)",50.06652355,20.00884129147333,0.0
10,3pok.najbardziej pożądany układ  Łąki Nowohuckie!,: Czyżyny,3.0,352 950 ,54.3,6500.0,https://www.otodom.pl/oferta/3pok-najbardziej-pozadany-uklad-laki-nowohuckie-ID3WZNm.html#89e33f6554,2019-03-07 15:26:00.408144,Nowohucka,"Kraków, : Czyżyny, Nowohucka","Nowohucka, Czyżyny, Kraków, województwo małopolskie, 31-580, Polska",dzielnica_ulica,"(50.0729599, 20.0043805, 0.0)",50.0729599,20.0043805,0.0
17,Mieszkanie Inwestycyjne   Grzegórzki  bez prowizji,: małopolskie,2.0,399 999 ,47.0,8511.0,https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-grzegorzki-bez-prowizji-ID3WZBG.html#89e33f6554,2019-03-07 15:26:00.409147,,"Kraków, : małopolskie, ","Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0469432, 19.997153435836697, 0.0)",50.0469432,19.997153435836697,0.0
23,3 pokoje wysoki standard Ugorek,: Ugorek,3.0,429 700 ,48.7,8823.0,https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-ugorek-ID3WZoQ.html#89e33f6554,2019-03-07 15:26:00.410149,Ugorek,"Kraków, : Ugorek, Ugorek","Ugorek, Prądnik Czerwony, Kraków, województwo małopolskie, 31-457, Polska",dzielnica_ulica,"(50.0761099, 19.9820437, 0.0)",50.0761099,19.9820437,0.0
25,2 oddzielne pokoje ok 49m2 Dębniki kliny,: Kliny-Zacisze,2.0,324 000 ,49.0,6612.0,https://www.otodom.pl/oferta/2-oddzielne-pokoje-ok-49m2-debniki-kliny-ID3WZfK.html#89e33f6554,2019-03-07 15:26:00.410149,,"Kraków, : Kliny-Zacisze, ","Kliny Zacisze, Swoszowice, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(49.9998275, 19.8972804, 0.0)",49.9998275,19.8972804,0.0
26,Sprzedam 2 apartamenty na Topolowej pod inwestycje,: Stare Miasto,3.0,790 000 ,78.5,10064.0,https://www.otodom.pl/oferta/sprzedam-2-apartamenty-na-topolowej-pod-inwestycje-ID3WZfy.html#89e33f6554,2019-03-07 15:26:00.410149,Topolowa,"Kraków, : Stare Miasto, Topolowa","Topolowa, Wesoła, Stare Miasto, Kraków, województwo małopolskie, 31-508, Polska",dzielnica_ulica,"(50.0672614, 19.9504819, 0.0)",50.0672614,19.9504819,0.0
28,2 pokojowe z Ogródkiem  43m2  Wola Justowska,: Bronowice,2.0,416 000 ,43.0,9674.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554,2019-03-07 15:26:00.410149,Justowska,"Kraków, : Bronowice, Justowska","Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",dzielnica_ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
29,Pl. Bohaterów Getta  2 pokoje !!!,: Stare Podgórze,2.0,475 000 ,43.3,10970.0,https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554,2019-03-07 15:26:00.410149,Getta,"Kraków, : Stare Podgórze, Getta","Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0467232, 19.95438111538139, 0.0)",50.0467232,19.95438111538139,0.0
30,Kraków  Śródmieście  Olsza –  ca Idzikowskiego,: Śródmieście,2.0,290 000 ,25.09,11558.0,https://www.otodom.pl/oferta/krakow-srodmiescie-olsza-ulica-idzikowskiego-ID3WZ3G.html#89e33f6554,2019-03-07 15:26:00.411152,,"Kraków, : Śródmieście, ","Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.09244545, 19.981457132908645, 0.0)",50.09244545,19.981457132908645,0.0
34,Bezpośrednio   Kawalerka  Strusia 25m2,: Nowa Huta,1.0,228 000 ,25.0,9120.0,https://www.otodom.pl/oferta/bezposrednio-kawalerka-os-strusia-25m2-ID3WYIY.html#3f7ebb237a,2019-03-07 15:26:01.294507,Struga,"Kraków, : Nowa Huta, Struga","Struga, Osiedle Na Skarpie, Nowa Huta, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.0747532, 20.047561079283497, 0.0)",50.0747532,20.047561079283497,0.0
38,3 pokoje 59m2 nowe budownictwo Śródmieście,: Śródmieście,3.0,499 000 ,59.7,8358.0,https://www.otodom.pl/oferta/3-pokoje-59m2-nowe-budownictwo-srodmiescie-ID3WZ2U.html#3f7ebb237a,2019-03-07 15:26:01.295509,,"Kraków, : Śródmieście, ","Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.09244545, 19.981457132908645, 0.0)",50.09244545,19.981457132908645,0.0
39,3 pokoje 60m2 nowe budownictwo Śródmieście,: Śródmieście,3.0,515 000 ,60.61,8497.0,https://www.otodom.pl/oferta/3-pokoje-60m2-nowe-budownictwo-srodmiescie-ID3WZ2Q.html#3f7ebb237a,2019-03-07 15:26:01.295509,,"Kraków, : Śródmieście, ","Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.09244545, 19.981457132908645, 0.0)",50.09244545,19.981457132908645,0.0
40,2 pokoje inwestycyjnie Centrum,: Śródmieście,2.0,399 000 ,40.04,9965.0,https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2M.html#3f7ebb237a,2019-03-07 15:26:01.295509,,"Kraków, : Śródmieście, ","Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.09244545, 19.981457132908645, 0.0)",50.09244545,19.981457132908645,0.0
41,2 pokoje inwestycyjnie Centrum,: Śródmieście,2.0,349 000 ,34.93,9991.0,https://www.otodom.pl/oferta/2-pokoje-inwestycyjnie-centrum-ID3WZ2I.html#3f7ebb237a,2019-03-07 15:26:01.295509,,"Kraków, : Śródmieście, ","Śródmieście, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",dzielnica_ulica,"(50.09244545, 19.981457132908645, 0.0)",50.09244545,19.981457132908645,0.0
