,opis,dzielnica,no_rooms,cena,flat_area,price,link,data,lokator_dzielnica,ulica,lokator_ulica,geo_location,rodzaj,point,latitude,longitude,altitude
1,Apartament u stóp Wawelu,: Stare Miasto,2.0,745 000 ,52.5,14190.0,https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#89e33f6554,2019-03-07 15:26:00.407141,"Krakow , : Stare Miasto",Wawelu,Kraków Wawelu,"Bazylika archikatedralna pw. Świętych Stanisława i Wacława, 1, Zamek Królewski na Wawelu, Stare Miasto, Kraków, województwo małopolskie, 31-001, Polska",ulica,"(50.05465045, 19.9354553913683, 0.0)",50.05465045,19.9354553913683,0.0
7,Do remontu w niskiej zabudowie + ogródek!,: Stare Dębniki,2.0,286 000 ,35.6,8034.0,https://www.otodom.pl/oferta/do-remontu-w-niskiej-zabudowie-ogrodek-ID3WZOQ.html#89e33f6554,2019-03-07 15:26:00.408144,"Krakow , : Stare Dębniki",budowie,Kraków budowie,"Cmentarz komunalny w budowie, Dębniki, Kraków, województwo małopolskie, Polska",ulica,"(50.0000448, 19.8424100466026, 0.0)",50.0000448,19.8424100466026,0.0
12,Ostatnie Piętro 4pok.przy Łąkach Nowohuckich!,: Czyżyny,4.0,484 608 ,81.31,5960.0,https://www.otodom.pl/oferta/ostatnie-pietro-4pok-przy-lakach-nowohuckich-ID3WZN2.html#89e33f6554,2019-03-07 15:26:00.409147,"Krakow , : Czyżyny",Ostatnia,Kraków Ostatnia,"Ostatnia, Wieczysta, Prądnik Czerwony, Kraków, województwo małopolskie, 31-444, Polska",ulica,"(50.0715256, 19.9780479, 0.0)",50.0715256,19.9780479,0.0
13,Nowe 2 pokojowe 40m2  Głowackiego,: Bronowice Małe,2.0,370 000 ,40.3,9181.0,https://www.otodom.pl/oferta/nowe-2-pokojowe-40m2-ul-glowackiego-ID3WZI8.html#89e33f6554,2019-03-07 15:26:00.409147,"Krakow , : Bronowice Małe",Głowackiego,Kraków Głowackiego,"Głowackiego, Podchorążych, Łobzów, Krowodrza, Kraków, województwo małopolskie, 30-124, Polska",ulica,"(50.0753634, 19.9068009, 0.0)",50.0753634,19.9068009,0.0
23,3 pokoje wysoki standard Ugorek,: Ugorek,3.0,429 700 ,48.7,8823.0,https://www.otodom.pl/oferta/3-pokoje-wysoki-standard-ugorek-ID3WZoQ.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Ugorek",Ugorek,Kraków Ugorek,"Ugorek, Prądnik Czerwony, Kraków, województwo małopolskie, Polska",ulica,"(50.0770309, 19.9814802435134, 0.0)",50.0770309,19.9814802435134,0.0
26,Sprzedam 2 apartamenty na Topolowej pod inwestycje,: Stare Miasto,3.0,790 000 ,78.5,10064.0,https://www.otodom.pl/oferta/sprzedam-2-apartamenty-na-topolowej-pod-inwestycje-ID3WZfy.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Stare Miasto",Topolowa,Kraków Topolowa,"Topolowa, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31-506, Polska",ulica,"(50.0666513, 19.95419, 0.0)",50.0666513,19.95419,0.0
27,Zamieszkaj na Dąbiu !,: Dąbie,2.0,386 100 ,39.0,9900.0,https://www.otodom.pl/oferta/zamieszkaj-na-dabiu-ID3WZ7u.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Dąbie",Zamiejska,Kraków Zamiejska,"Zamiejska, Kobierzyn, Dębniki, Kraków, województwo małopolskie, 30-390, Polska",ulica,"(50.011705, 19.8959791, 0.0)",50.011705,19.8959791,0.0
28,2 pokojowe z Ogródkiem  43m2  Wola Justowska,: Bronowice,2.0,416 000 ,43.0,9674.0,https://www.otodom.pl/oferta/2-pokojowe-z-ogrodkiem-43m2-wola-justowska-ID3WZ5V.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Bronowice",Justowska,Kraków Justowska,"Justowska, Osiedle Widok Zarzecze, Bronowice, Kraków, województwo małopolskie, 30-138, Polska",ulica,"(50.0754855, 19.8840381, 0.0)",50.0754855,19.8840381,0.0
29,Pl. Bohaterów Getta  2 pokoje !!!,: Stare Podgórze,2.0,475 000 ,43.3,10970.0,https://www.otodom.pl/oferta/pl-bohaterow-getta-2-pokoje-ID3WZ4s.html#89e33f6554,2019-03-07 15:26:00.410149,"Krakow , : Stare Podgórze",Getta,Kraków Getta,"Plac Bohaterów Getta, Podgórze, Kraków, województwo małopolskie, 30-527, Polska",ulica,"(50.0467232, 19.9543811153814, 0.0)",50.0467232,19.9543811153814,0.0
30,Kraków  Śródmieście  Olsza –  ca Idzikowskiego,: Śródmieście,2.0,290 000 ,25.09,11558.0,https://www.otodom.pl/oferta/krakow-srodmiescie-olsza-ulica-idzikowskiego-ID3WZ3G.html#89e33f6554,2019-03-07 15:26:00.411152,"Krakow , : Śródmieście",Irzykowskiego,Kraków Irzykowskiego,"Karola Irzykowskiego, Łuczanowice, Wzgórza Krzesławickie, Kraków, województwo małopolskie, 31-990, Polska",ulica,"(50.1144237, 20.1107216, 0.0)",50.1144237,20.1107216,0.0
