opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data
w sąsiedztwie Rynku Głównego / 2 miejsca postojowe;: Stare Miasto;4 pokoje;777 000 ;87,20 ;8 911 /;https://www.otodom.pl/oferta/w-sasiedztwie-rynku-glownego-2-miejsca-postojowe-ID3WKZS.html#89e33f6554;2019-03-07 15:26:00.407141
Apartament u stóp Wawelu;: Stare Miasto;2 pokoje;745 000 ;52,50 ;14 190 /;https://www.otodom.pl/oferta/apartament-u-stop-wawelu-ID3Wbnu.html#89e33f6554;2019-03-07 15:26:00.407141
Mieszkanie, 57 , Kraków;: Ruczaj;3 pokoje;430 000 ;57 ;7 544 /;https://www.otodom.pl/oferta/mieszkanie-57-m-krakow-ID3WVQo.html#89e33f6554;2019-03-07 15:26:00.407141
Mieszkanie, 48 , Kraków;: Bronowice;2 pokoje;399 500 ;48 ;8 323 /;https://www.otodom.pl/oferta/mieszkanie-48-m-krakow-ID3WVQs.html#89e33f6554;2019-03-07 15:26:00.407141
Mieszkanie, 52 , Kraków;: Krowodrza;3 pokoje;388 000 ;52 ;7 462 /;https://www.otodom.pl/oferta/mieszkanie-52-m-krakow-ID3WYTm.html#89e33f6554;2019-03-07 15:26:00.407141
Kawalerka Kraków Podgórze;: Podgórze;1 pokój;180 000 ;17,60 ;10 227 /;https://www.otodom.pl/oferta/kawalerka-krakow-podgorze-ID3WXBV.html#89e33f6554;2019-03-07 15:26:00.408144
2/3 pokoje WADOWICKA Aktualne;: Podgórze;3 pokoje;399 000 ;45 ;8 867 /;https://www.otodom.pl/oferta/2-3-pokoje-wadowicka-aktualne-ID3WWhi.html#89e33f6554;2019-03-07 15:26:00.408144
Do remontu w niskiej zabudowie + ogródek!;: Stare Dębniki;2 pokoje;286 000 ;35,60 ;8 034 /;https://www.otodom.pl/oferta/do-remontu-w-niskiej-zabudowie-ogrodek-ID3WZOQ.html#89e33f6554;2019-03-07 15:26:00.408144
4pok.w pobliżu terenów zielonych-Prywatny Ogród!;: Czyżyny;4 pokoje;446 300 ;75 ;5 951 /;https://www.otodom.pl/oferta/4pok-w-poblizu-terenow-zielonych-prywatny-ogrod-ID3WZNy.html#89e33f6554;2019-03-07 15:26:00.408144
3pok.z dwoma balkonami w zielonej okolicy-Czyżyny!;: Czyżyny;3 pokoje;378 752 ;59,18 ;6 400 /;https://www.otodom.pl/oferta/3pok-z-dwoma-balkonami-w-zielonej-okolicy-czyzyny-ID3WZNq.html#89e33f6554;2019-03-07 15:26:00.408144
3pok.najbardziej pożądany układ- Łąki Nowohuckie!;: Czyżyny;3 pokoje;352 950 ;54,30 ;6 500 /;https://www.otodom.pl/oferta/3pok-najbardziej-pozadany-uklad-laki-nowohuckie-ID3WZNm.html#89e33f6554;2019-03-07 15:26:00.408144
5pok.duży salon+dwa balkony-ostatnie w tym metrażu;: Czyżyny;5 pokoi;515 680 ;88 ;5 860 /;https://www.otodom.pl/oferta/5pok-duzy-salon-dwa-balkony-ostatnie-w-tym-metrazu-ID3WZNe.html#89e33f6554;2019-03-07 15:26:00.408144
Ostatnie Piętro-4pok.przy Łąkach Nowohuckich!;: Czyżyny;4 pokoje;484 608 ;81,31 ;5 960 /;https://www.otodom.pl/oferta/ostatnie-pietro-4pok-przy-lakach-nowohuckich-ID3WZN2.html#89e33f6554;2019-03-07 15:26:00.409147
Nowe 2 pokojowe 40m2 ul.Głowackiego;: Bronowice Małe;2 pokoje;370 000 ;40,30 ;9 181 /;https://www.otodom.pl/oferta/nowe-2-pokojowe-40m2-ul-glowackiego-ID3WZI8.html#89e33f6554;2019-03-07 15:26:00.409147
Okazja!;: Krowodrza;1 pokój;140 400 ;19,23 ;7 301 /;https://www.otodom.pl/oferta/okazja-ID3WZC8.html#89e33f6554;2019-03-07 15:26:00.409147
Okazja Inwestycyjna!;: Krowodrza;1 pokój;181 000 ;27,60 ;6 558 /;https://www.otodom.pl/oferta/okazja-inwestycyjna-ID3WZC0.html#89e33f6554;2019-03-07 15:26:00.409147
Mieszkanie, 38,80 , Kraków;: Krowodrza;2 pokoje;342 000 ;38,80 ;8 814 /;https://www.otodom.pl/oferta/mieszkanie-38-80-m-krakow-ID3WZC4.html#89e33f6554;2019-03-07 15:26:00.409147
Mieszkanie Inwestycyjne - Grzegórzki, bez prowizji;: małopolskie;2 pokoje;399 999 ;47 ;8 511 /;https://www.otodom.pl/oferta/mieszkanie-inwestycyjne-grzegorzki-bez-prowizji-ID3WZBG.html#89e33f6554;2019-03-07 15:26:00.409147
Penthouse Angel City 6 piętro na Starym Mieście;: Stare Miasto;2 pokoje;871 900 ;59 ;14 778 /;https://www.otodom.pl/oferta/penthouse-angel-city-6-pietro-na-starym-miescie-ID3WZBu.html#89e33f6554;2019-03-07 15:26:00.409147
Przestronny apartament w Angel City w centrum!;: Stare Miasto;2 pokoje;839 000 ;64 ;13 109 /;https://www.otodom.pl/oferta/przestronny-apartament-w-angel-city-w-centrum-ID3WZBq.html#89e33f6554;2019-03-07 15:26:00.409147
